loan_id,customer_id,branch_id,loan_type,loan_amount,interest_rate,loan_term_months,emi_amount,loan_status,approval_date,disbursed_amount,remaining_balance
L032,C032,B096,Personal Loan,1750896,10.3,240,22323.92,Active,2025-03-21,1750896,774691
L033,C033,B429,Business Loan,2408686,10.8,120,41750.56,Active,2022-06-22,2408686,948928
L034,C034,B343,Business Loan,1467775,13.1,36,56794.74,Default,2023-11-12,1467775,179741
L035,C035,B495,Education Loan,2108515,11.7,240,29343.5,Default,2022-07-30,2108515,1755870
L036,C036,B463,Home Loan,2176708,11.1,36,80598.66,Closed,2023-02-03,2176708,1655929
L037,C037,B486,Car Loan,1208997,14.6,300,18739.45,Closed,2022-09-11,1208997,362553
L038,C038,B350,Personal Loan,1816703,8.4,240,20286.52,Closed,2025-11-26,1816703,164350
L039,C039,B467,Home Loan,1440492,13.8,120,28569.76,Active,2024-07-12,1440492,670563
L040,C040,B267,Personal Loan,3455611,11.7,180,52890.05,Active,2022-09-24,3455611,1158470
L041,C041,B077,Car Loan,4583567,13.4,36,178504.47,Active,2024-04-26,4583567,3476594
L042,C042,B445,Education Loan,1086129,11.7,36,40760.01,Pending,2025-07-21,1086129,599980
L043,C043,B312,Personal Loan,3646795,9.5,300,41026.44,Active,2023-03-12,3646795,2399239
L044,C044,B312,Personal Loan,1644516,9.6,48,47416.88,Active,2023-07-23,1644516,1296552
L045,C045,B122,Home Loan,3520150,14.2,180,61211.5,Default,2025-06-15,3520150,2896224
L046,C046,B419,Business Loan,2453048,14.2,24,131238.07,Pending,2025-08-07,2453048,1417113
L047,C047,B069,Business Loan,2551718,13.8,36,100225.81,Default,2024-02-29,2551718,956122
L048,C048,B331,Home Loan,2891638,9.5,240,34940.63,Closed,2024-06-10,2891638,2537466
L049,C049,B249,Education Loan,3905387,9.1,240,45888.3,Pending,2025-10-23,3905387,3107747
L050,C050,B160,Education Loan,671488,11.4,48,20368.47,Default,2025-06-25,671488,68804
L051,C051,B099,Car Loan,1337913,13.4,24,70686.4,Active,2023-02-03,1337913,364353
L052,C052,B361,Car Loan,2292876,7.7,24,110249.12,Pending,2026-03-03,2292876,1511522
L053,C053,B473,Home Loan,3289959,13.7,240,51268.53,Active,2025-10-18,3289959,2665101
L054,C054,B492,Personal Loan,2229523,10.3,300,26568.48,Pending,2023-07-13,2229523,744839
L055,C055,B047,Business Loan,3087769,8.7,120,48117.73,Active,2024-01-29,3087769,2889248
L056,C056,B332,Car Loan,3442747,7.9,60,80043.87,Closed,2025-04-12,3442747,928413
L057,C057,B243,Car Loan,2457236,12.4,24,127776.27,Closed,2023-05-04,2457236,37320
L058,C058,B217,Personal Loan,270998,9.2,120,4335.97,Pending,2025-11-14,270998,144377
L059,C059,B347,Education Loan,4050354,9.4,300,45228.95,Default,2023-06-19,4050354,1267288
L060,C060,B153,Home Loan,1058256,7.6,180,12581.49,Default,2025-09-09,1058256,592816
L061,C061,B167,Business Loan,735504,10.0,120,12258.4,Pending,2024-06-16,735504,671712
L062,C062,B413,Education Loan,2706441,8.9,60,65180.12,Default,2023-03-31,2706441,238130
L063,C063,B255,Business Loan,2880879,12.6,24,150285.85,Pending,2024-06-08,2880879,2748949
L064,C064,B363,Education Loan,3711183,10.5,24,187105.48,Closed,2024-03-25,3711183,2445378
L065,C065,B274,Personal Loan,3078693,12.9,60,84407.5,Pending,2025-11-24,3078693,2878626
L066,C066,B151,Home Loan,4455665,9.8,48,129214.29,Default,2022-07-24,4455665,1519477
L067,C067,B336,Home Loan,1273273,13.1,48,40426.42,Closed,2026-04-15,1273273,703872
L068,C068,B404,Business Loan,3180333,9.2,120,50885.33,Pending,2023-03-22,3180333,1763589
L069,C069,B241,Home Loan,2385729,11.9,300,31610.91,Active,2022-05-27,2385729,494011
L070,C070,B349,Personal Loan,4161265,14.2,36,164832.33,Pending,2024-10-20,4161265,3638549
L071,C071,B103,Business Loan,3665394,7.9,48,100492.89,Default,2025-10-11,3665394,576151
L072,C072,B162,Car Loan,4976503,14.2,300,75476.96,Active,2025-03-24,4976503,1201451
L073,C073,B325,Home Loan,4290124,10.0,48,125128.62,Active,2025-10-29,4290124,2629107
L074,C074,B392,Car Loan,3992097,9.6,48,115105.46,Default,2024-01-03,3992097,2417088
L075,C075,B220,Personal Loan,938544,8.5,240,10558.62,Default,2022-12-20,938544,664259
L076,C076,B375,Business Loan,4204723,10.4,24,211637.72,Active,2026-03-23,4204723,1672807
L077,C077,B347,Home Loan,2902919,13.2,60,80314.09,Closed,2022-06-18,2902919,75145
L078,C078,B067,Home Loan,2098054,12.7,180,33860.26,Default,2022-10-08,2098054,1309009
L079,C079,B422,Home Loan,4422292,11.9,48,135985.48,Pending,2023-09-21,4422292,547667
L080,C080,B455,Car Loan,2639640,10.9,180,38641.4,Pending,2026-05-11,2639640,1818923
L081,C081,B486,Personal Loan,4311916,10.2,60,108516.55,Active,2023-08-06,4311916,1383143
L082,C082,B376,Home Loan,2116111,9.2,48,60309.16,Closed,2024-01-31,2116111,885796
L083,C083,B449,Business Loan,1233157,10.2,24,61863.38,Active,2023-01-03,1233157,786835
L084,C084,B354,Home Loan,602320,12.5,24,31370.83,Default,2022-10-30,602320,50578
L085,C085,B360,Car Loan,3927178,10.4,120,66762.03,Closed,2023-05-03,3927178,1989762
L086,C086,B139,Education Loan,278052,9.8,36,9994.42,Closed,2025-05-26,278052,272791
L087,C087,B369,Education Loan,3713365,13.7,36,145543.28,Active,2024-05-18,3713365,2145742
L088,C088,B102,Education Loan,2571516,8.4,36,89431.61,Closed,2024-02-13,2571516,2087668
L089,C089,B361,Personal Loan,2406152,13.7,60,67572.77,Pending,2022-06-03,2406152,1501232
L090,C090,B353,Personal Loan,1545311,7.8,300,15195.56,Pending,2025-06-19,1545311,435565
L091,C091,B428,Education Loan,2167172,7.5,36,73744.05,Default,2023-06-03,2167172,463180
L092,C092,B464,Business Loan,1451114,14.6,36,57963.94,Closed,2022-07-19,1451114,212421
L093,C093,B238,Home Loan,4031507,14.9,120,83653.77,Active,2023-12-17,4031507,1107820
L094,C094,B411,Business Loan,1665504,14.1,120,33448.87,Default,2022-07-27,1665504,755424
L095,C095,B437,Car Loan,1172248,8.2,24,56854.03,Closed,2026-04-10,1172248,20284
L096,C096,B138,Home Loan,2957006,10.2,300,34991.24,Pending,2023-06-10,2957006,2608047
L097,C097,B493,Personal Loan,3074966,8.9,240,35618.36,Pending,2023-12-28,3074966,1678771
L098,C098,B216,Car Loan,3435616,12.7,300,47812.32,Active,2022-12-24,3435616,3355019
L099,C099,B054,Personal Loan,1311587,12.7,24,68530.42,Default,2023-05-24,1311587,334276
L100,C100,B399,Business Loan,4972643,12.6,48,155809.48,Active,2022-08-03,4972643,3185580
L101,C101,B455,Personal Loan,1296016,11.1,300,16308.2,Default,2026-02-17,1296016,236847
L102,C102,B361,Education Loan,585643,8.0,180,7157.86,Closed,2026-02-19,585643,12960
L103,C103,B339,Car Loan,3037871,11.4,36,113245.08,Default,2023-03-02,3037871,1815495
L104,C104,B430,Education Loan,3100356,12.5,240,45213.53,Active,2022-09-06,3100356,623501
L105,C105,B435,Personal Loan,297684,12.3,48,9253.01,Default,2026-03-28,297684,265063
L106,C106,B124,Business Loan,1587508,8.1,300,16007.37,Pending,2024-12-19,1587508,672417
L107,C107,B419,Car Loan,622372,11.3,240,8453.89,Active,2025-10-08,622372,422866
L108,C108,B439,Personal Loan,4051164,10.8,300,49964.36,Default,2023-01-20,4051164,369182
L109,C109,B010,Home Loan,2851316,8.4,300,29463.6,Default,2025-01-14,2851316,2740445
L110,C110,B047,Education Loan,3658946,7.8,24,176239.23,Pending,2025-09-21,3658946,3464112
L111,C111,B187,Home Loan,4464246,11.7,300,58407.22,Closed,2024-01-14,4464246,2859292
L112,C112,B337,Business Loan,4012286,10.0,300,46810.0,Default,2024-12-20,4012286,3005881
L113,C113,B175,Business Loan,1156497,8.2,60,27177.68,Pending,2024-05-27,1156497,4607
L114,C114,B460,Car Loan,4794361,11.4,36,178723.12,Default,2022-11-05,4794361,384014
L115,C115,B131,Education Loan,1378173,13.7,240,21476.53,Closed,2025-05-19,1378173,224314
L116,C116,B235,Car Loan,1773228,8.4,240,19801.05,Pending,2023-08-01,1773228,452123
L117,C117,B396,Personal Loan,1104004,13.2,24,58144.21,Default,2025-10-03,1104004,258409
L118,C118,B272,Home Loan,4429515,8.5,300,46140.78,Default,2026-01-25,4429515,36386
L119,C119,B375,Car Loan,4251126,14.4,48,139578.64,Active,2023-05-26,4251126,1456684
L120,C120,B452,Personal Loan,3449793,12.4,180,54813.38,Default,2024-10-02,3449793,2114391
L121,C121,B232,Car Loan,2282377,9.6,180,30938.89,Closed,2022-10-14,2282377,1233853
L122,C122,B360,Education Loan,3662359,12.0,120,67143.25,Pending,2023-08-13,3662359,3536110
L123,C123,B320,Business Loan,4843778,12.2,60,129974.71,Pending,2025-12-25,4843778,1759197
L124,C124,B278,Business Loan,1312931,14.9,48,43654.96,Active,2023-08-02,1312931,1056741
L125,C125,B383,Education Loan,3154784,11.7,240,43904.08,Pending,2024-07-19,3154784,2827982
L126,C126,B196,Car Loan,3743233,13.6,36,146402.0,Active,2023-02-15,3743233,105999
L127,C127,B350,Business Loan,674835,9.0,48,19120.33,Closed,2022-11-09,674835,300538
L128,C128,B386,Education Loan,720369,12.7,120,13626.98,Active,2025-09-23,720369,213910
L129,C129,B445,Education Loan,3208846,13.6,36,125501.53,Closed,2026-02-18,3208846,2584147
L130,C130,B475,Personal Loan,4908278,10.4,120,83440.73,Default,2023-07-04,4908278,394095
L131,C131,B028,Home Loan,3694410,14.7,180,65781.02,Pending,2025-06-21,3694410,2315778
L132,C132,B116,Business Loan,1903619,12.2,300,25698.86,Closed,2024-07-07,1903619,1740601
L133,C133,B039,Car Loan,1823176,9.7,48,52720.17,Closed,2022-10-01,1823176,1431639
L134,C134,B143,Education Loan,4510459,8.4,24,219509.0,Pending,2023-11-19,4510459,3594584
L135,C135,B170,Personal Loan,1291077,8.7,120,20119.28,Closed,2026-04-25,1291077,11838
L136,C136,B397,Education Loan,535045,8.7,180,6851.55,Pending,2026-04-20,535045,53325
L137,C137,B402,Business Loan,4315039,13.4,180,72157.04,Closed,2023-07-04,4315039,611368
L138,C138,B279,Education Loan,1742405,11.4,48,52852.95,Default,2025-09-09,1742405,872271
L139,C139,B170,Business Loan,971295,10.1,60,24363.32,Pending,2024-03-09,971295,695556
L140,C140,B422,Home Loan,2662680,9.1,300,29067.59,Active,2023-06-26,2662680,2354408
L141,C141,B350,Business Loan,3102519,10.8,60,79631.32,Default,2024-08-09,3102519,167257
L142,C142,B467,Education Loan,1151050,10.4,120,19567.85,Pending,2023-09-22,1151050,51811
L143,C143,B023,Business Loan,4514337,13.5,300,65834.08,Closed,2022-11-13,4514337,4083613
L144,C144,B498,Education Loan,2886978,11.4,36,107620.12,Active,2025-01-10,2886978,702104
L145,C145,B218,Home Loan,749217,9.1,60,18168.51,Closed,2023-01-02,749217,718699
L146,C146,B383,Car Loan,4711009,13.7,240,73413.22,Active,2024-05-03,4711009,604990
L147,C147,B038,Home Loan,4052260,12.9,24,212405.96,Closed,2022-11-26,4052260,367089
L148,C148,B209,Personal Loan,2313157,11.7,60,61105.9,Default,2024-06-09,2313157,1084848
L149,C149,B345,Home Loan,3592755,10.7,24,181733.52,Active,2025-02-14,3592755,1633689
L150,C150,B184,Education Loan,730475,13.2,24,38471.68,Active,2025-10-20,730475,76115
L151,C151,B045,Business Loan,2631325,13.4,120,51310.84,Default,2024-01-29,2631325,2544121
L152,C152,B081,Education Loan,3399528,10.5,24,171392.87,Closed,2023-09-14,3399528,1988048
L153,C153,B074,Business Loan,1344050,13.1,120,25872.96,Pending,2023-03-18,1344050,1329690
L154,C154,B022,Home Loan,293534,11.7,48,8977.25,Default,2024-03-02,293534,64610
L155,C155,B108,Business Loan,4705957,11.6,36,176211.95,Closed,2023-08-14,4705957,2555934
L156,C156,B095,Car Loan,3661596,14.3,48,119917.27,Pending,2026-03-29,3661596,675091
L157,C157,B385,Education Loan,1830126,8.4,24,89066.13,Default,2023-08-13,1830126,1785489
L158,C158,B051,Car Loan,4810920,8.0,36,165709.47,Default,2023-04-23,4810920,2102920
L159,C159,B146,Education Loan,2975378,10.2,60,74880.35,Active,2026-01-19,2975378,419619
L160,C160,B316,Business Loan,1823183,9.9,300,21118.54,Closed,2025-12-28,1823183,688591
L161,C161,B087,Home Loan,4944194,11.8,180,76085.65,Pending,2024-02-08,4944194,3592902
L162,C162,B431,Business Loan,2265066,13.4,240,34731.01,Closed,2023-04-04,2265066,1160479
L163,C163,B184,Business Loan,2981351,14.1,300,44968.71,Default,2024-07-05,2981351,1867966
L164,C164,B440,Car Loan,4827758,8.3,36,167496.38,Closed,2023-08-28,4827758,2353977
L165,C165,B457,Home Loan,2408172,13.0,36,92982.2,Active,2026-04-04,2408172,316250
L166,C166,B283,Business Loan,3598514,13.3,60,99858.76,Default,2025-07-01,3598514,153747
L167,C167,B376,Business Loan,1446823,10.2,60,36411.71,Closed,2022-11-09,1446823,1236482
L168,C168,B187,Education Loan,4098195,11.3,36,152430.09,Active,2025-09-13,4098195,1664237
L169,C169,B072,Personal Loan,2203877,13.9,48,71442.35,Closed,2024-07-12,2203877,2156445
L170,C170,B375,Personal Loan,1702778,11.7,48,52076.63,Pending,2024-08-15,1702778,1543335
L171,C171,B033,Business Loan,539066,9.1,300,5884.8,Pending,2022-12-03,539066,243007
L172,C172,B199,Personal Loan,2163090,7.8,60,50111.58,Default,2023-02-02,2163090,1515198
L173,C173,B361,Education Loan,589545,7.8,180,7107.29,Pending,2022-10-11,589545,108239
L174,C174,B335,Personal Loan,2408855,11.8,48,73871.55,Pending,2025-12-23,2408855,1579824
L175,C175,B265,Personal Loan,852948,11.4,240,11656.96,Pending,2022-10-10,852948,233726
L176,C176,B004,Education Loan,3094340,11.2,300,39194.97,Closed,2023-09-03,3094340,2534244
L177,C177,B330,Business Loan,3890137,8.7,36,136262.85,Closed,2024-02-06,3890137,2158142
L178,C178,B368,Home Loan,1460307,8.9,180,18943.43,Closed,2026-04-13,1460307,1262528
L179,C179,B346,Personal Loan,3678031,13.6,36,143851.88,Default,2025-08-23,3678031,2019627
L180,C180,B125,Home Loan,1967512,11.9,240,27709.13,Closed,2025-05-03,1967512,47072
L181,C181,B076,Home Loan,1551649,8.5,24,75642.89,Closed,2024-12-08,1551649,1200135
L182,C182,B327,Home Loan,2366438,14.4,240,38257.41,Pending,2026-05-13,2366438,2363929
L183,C183,B247,Car Loan,919310,9.1,300,10035.8,Closed,2022-09-06,919310,909432
L184,C184,B338,Education Loan,3645762,12.0,48,112410.99,Pending,2023-01-12,3645762,2613939
L185,C185,B306,Education Loan,1606951,12.9,180,26202.23,Active,2024-12-09,1606951,950995
L186,C186,B009,Car Loan,2127817,10.3,48,62593.28,Default,2023-05-10,2127817,455376
L187,C187,B462,Education Loan,1454610,12.0,48,44850.47,Active,2025-03-22,1454610,997970
L188,C188,B247,Car Loan,4657957,11.3,36,173250.12,Active,2026-01-06,4657957,781734
L189,C189,B023,Education Loan,3819657,11.4,180,57507.06,Default,2023-08-04,3819657,3669279
L190,C190,B180,Education Loan,2125070,14.5,300,32761.5,Active,2022-05-25,2125070,1599021
L191,C191,B120,Home Loan,3769263,8.5,300,39263.16,Pending,2024-09-10,3769263,3212245
L192,C192,B364,Home Loan,4761146,10.6,60,121409.22,Active,2023-07-31,4761146,45881
L193,C193,B210,Business Loan,4560078,7.6,60,104881.79,Active,2025-09-30,4560078,2649975
L194,C194,B438,Education Loan,1498376,10.7,120,25846.99,Default,2022-10-12,1498376,547991
L195,C195,B387,Car Loan,4936797,10.2,120,83102.75,Default,2023-12-09,4936797,3334087
L196,C196,B190,Education Loan,4831391,13.4,300,70055.17,Default,2024-12-16,4831391,1499208
L197,C197,B377,Car Loan,2328841,14.9,180,41854.45,Active,2023-06-09,2328841,1669877
L198,C198,B110,Education Loan,2127461,10.8,48,63469.25,Default,2024-08-25,2127461,420599
L199,C199,B200,Home Loan,3039022,13.5,24,160814.91,Active,2023-08-22,3039022,674184
L200,C200,B033,Business Loan,1419103,11.0,240,18921.37,Closed,2025-02-21,1419103,184844
L201,C201,B197,Personal Loan,3310790,8.1,24,160297.42,Pending,2025-05-24,3310790,3038751
L202,C202,B254,Personal Loan,682034,14.6,48,22507.12,Active,2023-01-15,682034,671394
L203,C203,B018,Education Loan,1892042,13.9,120,37683.17,Closed,2025-01-05,1892042,408413
L204,C204,B336,Home Loan,1621725,12.6,180,26037.7,Closed,2023-10-01,1621725,501757
L205,C205,B343,Personal Loan,928490,15.0,240,15474.83,Default,2024-02-28,928490,370281
L206,C206,B282,Business Loan,1880325,11.4,36,70094.34,Pending,2024-11-11,1880325,189091
L207,C207,B311,Car Loan,3114832,14.7,120,64113.63,Default,2022-09-23,3114832,949152
L208,C208,B209,Education Loan,3588632,11.8,120,65193.48,Active,2022-07-16,3588632,734149
L209,C209,B485,Home Loan,4886134,8.0,120,73292.01,Pending,2025-12-13,4886134,2851840
L210,C210,B495,Personal Loan,4712260,13.6,120,92674.45,Default,2022-07-15,4712260,3714212
L211,C211,B460,Education Loan,2240723,13.2,300,32117.03,Active,2022-09-21,2240723,1932401
L212,C212,B325,Car Loan,4243058,8.4,36,147564.13,Closed,2023-08-05,4243058,3210095
L213,C213,B275,Home Loan,2848541,10.6,180,40987.34,Pending,2025-08-22,2848541,2166375
L214,C214,B039,Education Loan,2282535,9.7,240,27961.05,Closed,2026-01-19,2282535,1434422
L215,C215,B094,Car Loan,4197636,9.9,60,104591.1,Default,2022-06-09,4197636,2257171
L216,C216,B136,Car Loan,1874924,9.3,60,45779.39,Closed,2024-12-01,1874924,1830273
L217,C217,B399,Home Loan,1900929,13.8,180,32421.4,Active,2026-02-20,1900929,327146
L218,C218,B004,Education Loan,858401,12.6,300,11874.55,Active,2023-02-12,858401,643644
L219,C219,B460,Education Loan,4245759,10.3,180,60030.31,Pending,2025-09-01,4245759,4130050
L220,C220,B114,Education Loan,4317173,8.9,120,67995.47,Closed,2022-11-25,4317173,3337655
L221,C221,B482,Education Loan,654227,11.4,240,8941.1,Active,2024-07-21,654227,501554
L222,C222,B500,Home Loan,4415067,10.1,48,129140.71,Default,2022-10-29,4415067,3835238
L223,C223,B108,Personal Loan,2847874,12.7,24,148801.42,Active,2025-05-28,2847874,2827393
L224,C224,B281,Business Loan,2929956,10.2,120,49320.93,Closed,2026-04-08,2929956,784974
L225,C225,B095,Personal Loan,2459960,11.0,180,36216.08,Default,2023-04-02,2459960,1534797
L226,C226,B438,Personal Loan,1966074,10.6,180,28289.62,Pending,2022-12-05,1966074,765624
L227,C227,B352,Car Loan,3980988,8.8,48,112131.16,Active,2023-11-25,3980988,2415469
L228,C228,B101,Car Loan,2464497,13.5,240,37994.33,Closed,2026-05-01,2464497,1597540
L229,C229,B256,Car Loan,4167702,13.5,48,133713.77,Pending,2025-10-05,4167702,1767985
L230,C230,B051,Car Loan,4282066,9.8,24,213389.62,Active,2024-07-21,4282066,3342037
L231,C231,B323,Home Loan,2007470,13.6,300,29442.89,Default,2023-08-08,2007470,1759451
L232,C232,B286,Business Loan,3007302,9.4,180,40264.43,Pending,2025-05-11,3007302,2350278
L233,C233,B494,Education Loan,366390,10.6,180,5271.94,Closed,2022-09-01,366390,356298
L234,C234,B167,Education Loan,4716747,8.8,120,73895.7,Default,2025-11-03,4716747,2978870
L235,C235,B147,Personal Loan,3949121,14.2,240,63185.94,Closed,2024-11-21,3949121,2573892
L236,C236,B324,Education Loan,1605725,12.3,180,25379.38,Default,2023-05-31,1605725,884613
L237,C237,B161,Business Loan,798477,8.1,180,9825.7,Pending,2022-11-03,798477,239303
L238,C238,B455,Personal Loan,2443721,12.0,240,34619.38,Pending,2024-11-10,2443721,1137696
L239,C239,B095,Home Loan,4569925,14.7,240,75022.94,Closed,2026-01-15,4569925,1403566
L240,C240,B086,Personal Loan,2168195,12.5,36,82813.0,Active,2024-07-14,2168195,883200
L241,C241,B028,Home Loan,1001562,8.0,300,10015.62,Default,2023-05-22,1001562,575074
L242,C242,B135,Education Loan,4595486,13.2,36,178202.73,Closed,2025-05-18,4595486,871814
L243,C243,B118,Car Loan,907254,12.4,240,13155.18,Pending,2025-10-04,907254,324398
L244,C244,B430,Car Loan,3917499,12.2,48,121442.47,Active,2025-04-12,3917499,2209317
L245,C245,B244,Personal Loan,494901,12.5,180,7904.67,Pending,2023-09-02,494901,453111
L246,C246,B324,Education Loan,4801531,10.8,48,143245.67,Default,2025-06-13,4801531,3829763
L247,C247,B247,Education Loan,4591099,12.3,120,85317.92,Closed,2025-09-12,4591099,2912258
L248,C248,B134,Car Loan,951233,10.8,180,13845.72,Pending,2025-04-08,951233,432227
L249,C249,B147,Personal Loan,288548,7.5,48,7814.84,Active,2022-08-20,288548,180294
L250,C250,B005,Personal Loan,4326621,14.6,300,67062.63,Pending,2022-11-18,4326621,2513315
L251,C251,B211,Education Loan,2139575,13.5,180,35956.75,Default,2025-02-14,2139575,790924
L252,C252,B194,Car Loan,3511420,9.4,240,42137.04,Pending,2024-11-19,3511420,3474674
L253,C253,B392,Education Loan,864459,10.7,60,22115.74,Pending,2024-08-25,864459,541704
L254,C254,B097,Home Loan,2588042,12.4,120,48310.12,Closed,2025-10-12,2588042,1731844
L255,C255,B232,Business Loan,1346085,9.7,300,15367.8,Default,2024-11-15,1346085,1295472
L256,C256,B497,Education Loan,1775292,9.9,48,51631.41,Active,2024-10-17,1775292,104085
L257,C257,B065,Personal Loan,1759757,14.8,120,36368.31,Active,2022-09-05,1759757,564543
L258,C258,B112,Business Loan,2152956,8.2,24,104418.37,Default,2023-11-18,2152956,2070222
L259,C259,B238,Home Loan,2813694,13.4,300,40798.56,Pending,2025-02-22,2813694,1557752
L260,C260,B137,Personal Loan,872960,13.8,48,28225.71,Active,2023-07-10,872960,58760
L261,C261,B419,Personal Loan,4756624,11.0,60,122879.45,Active,2022-07-09,4756624,2097818
L262,C262,B395,Personal Loan,1223087,14.8,60,35469.52,Closed,2024-12-01,1223087,806979
L263,C263,B341,Car Loan,481104,9.0,36,16972.28,Default,2023-10-08,481104,273226
L264,C264,B082,Home Loan,3464199,12.6,120,65242.41,Active,2024-01-27,3464199,1355025
L265,C265,B185,Home Loan,2324941,11.1,120,40880.21,Closed,2024-03-24,2324941,833507
L266,C266,B008,Car Loan,1147312,9.3,240,13672.13,Pending,2024-08-22,1147312,680554
L267,C267,B497,Home Loan,1203693,10.5,60,30593.86,Default,2026-01-12,1203693,18727
L268,C268,B081,Personal Loan,1500166,10.3,36,54547.7,Active,2022-09-10,1500166,521608
L269,C269,B183,Car Loan,3038890,14.5,24,163340.34,Active,2022-06-26,3038890,250715
L270,C270,B404,Business Loan,1255517,11.2,180,18693.25,Default,2025-12-01,1255517,1170945
L271,C271,B371,Car Loan,1818710,7.7,240,19248.01,Pending,2023-03-05,1818710,751131
L272,C272,B278,Personal Loan,531253,11.1,300,6684.93,Closed,2024-07-22,531253,309030
L273,C273,B375,Personal Loan,4953838,8.9,180,64262.29,Pending,2024-12-26,4953838,2715231
L274,C274,B152,Business Loan,4851653,8.7,48,136250.59,Pending,2022-08-12,4851653,3769707
L275,C275,B095,Home Loan,4009090,7.5,240,41761.35,Pending,2023-11-11,4009090,3077183
L276,C276,B098,Education Loan,2203086,9.9,36,79372.29,Default,2023-12-09,2203086,1625254
L277,C277,B210,Business Loan,4826047,8.7,120,75205.9,Active,2024-08-07,4826047,2706165
L278,C278,B428,Car Loan,1007456,11.4,36,37555.72,Closed,2022-12-13,1007456,45903
L279,C279,B051,Home Loan,462343,9.0,300,5008.72,Default,2025-12-23,462343,100462
L280,C280,B188,Car Loan,4309659,11.4,120,76855.59,Active,2023-07-29,4309659,411760
L281,C281,B476,Home Loan,309774,14.5,60,8906.0,Default,2022-08-20,309774,257638
L282,C282,B407,Home Loan,709190,10.2,240,8983.07,Pending,2023-03-21,709190,386996
L283,C283,B040,Car Loan,4637748,7.8,36,158971.7,Active,2022-08-27,4637748,2549336
L284,C284,B099,Education Loan,1049137,12.9,240,15649.63,Closed,2024-02-08,1049137,397327
L285,C285,B384,Education Loan,4981738,12.2,48,154433.88,Default,2023-12-11,4981738,4684395
L286,C286,B360,Personal Loan,1085117,13.2,180,17964.71,Active,2025-02-15,1085117,962006
L287,C287,B173,Car Loan,1599297,13.4,240,24522.55,Default,2024-10-04,1599297,1058417
L288,C288,B212,Personal Loan,3155508,14.3,180,55133.74,Pending,2023-08-03,3155508,1559104
L289,C289,B393,Education Loan,2219327,11.7,60,58627.22,Pending,2024-11-19,2219327,1573128
